patrimonio;Descricao;dataBaixa;vidaUtil;valorBruto;depreciacao;valorLiquido
15898;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15899;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15900;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15901;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15902;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15903;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15904;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15905;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15906;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15907;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15908;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15909;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15910;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15911;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15912;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15913;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15914;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15915;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15916;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15918;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15919;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15920;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15921;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15922;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15923;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15924;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15925;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15926;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15927;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15928;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15929;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15930;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15931;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15932;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15933;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15934;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15935;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15936;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15937;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15938;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15939;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15940;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15941;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15942;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15943;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15944;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15945;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15946;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15947;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15948;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15949;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15950;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15951;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15952;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
15953;BLOQUEADOR DE LINHA TELEFÔNICA;13/06/2017;0;37,5;20,75;16,75
