id;descricao;estado;vidaUtil;valorResidual;valorAtual;depreciacao;depreAcumulada;valorAtual
6067;ESTRADO EM MADEIRA;Bom;0;3;30;0;0;30
6069;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6070;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6071;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6072;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6073;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6074;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6075;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6076;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6077;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6078;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6079;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6080;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6081;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6082;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6083;ESTRADO EM MADEIRA;Bom;0;5,28;52,8;0;0;52,8
6084;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6085;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6086;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6087;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6088;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6089;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6090;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6091;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6092;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6093;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6094;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6095;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6096;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6097;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6098;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6099;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6100;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6101;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6102;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6103;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6104;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6105;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6106;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6107;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6108;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6109;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6110;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6111;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6112;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6113;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6114;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6115;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6116;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6117;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6118;ESTRADO EM MADEIRA;Bom;0;2,64;26,4;0;0;26,4
6121;FICHÁRIO EM ACO COM TAMPA DE ACRÍLICO;Bom;0;2,66;2,66;0;0;2,66
6148;POLTRONA FIXA EM COURVIN;Bom;0;0;10;0;0;10
6151;POLTRONA FIXA EM COURVIN;Bom;0;0;10;0;0;10
6216;QUADRO MAGNÉTICO;Bom;0;22,83;22,83;0;0;22,83
6238;MAPA DO BRASIL GEOPOLÍTICO;Bom;0;0;10;0;0;10
6244;ARMARIO ALTO EM MADEIRA;Bom;0;48;48;0;0;48
6274;GRAMPEADOR DE MESA SEMI-INDUSTRIAL;Bom;0;12,05;120,5;0;0;120,5
6275;GRAMPEADOR DE MESA SEMI-INDUSTRIAL;Bom;0;12,05;120,5;0;0;120,5
6296;MESA PARA IMPRESSORA;Bom;0;17,5;17,5;0;0;17,5
6297;MESA PARA IMPRESSORA;Bom;0;17,5;17,5;0;0;17,5
6329;GELADEIRA DUPLEX;Bom;0;139,9;1399;0;0;1399
6330;GELADEIRA TIPO FRIGOBAR;Bom;0;52,9;529;0;0;529
6343;MESA PARA IMPRESSORA;Bom;0;17,5;17,5;0;0;17,5
6346;MESA PARA IMPRESSORA;Bom;0;17,5;17,5;0;0;17,5
6437;GELADEIRA DUPLEX;Bom;0;198;1980;0;0;1980
6452;MICROFONE DE ELETRETO;Bom;0;41,8;418;0;0;418
6466;FICHAS TOXICOLOGIQUES;Bom;0;0;450;0;0;450
6512;APARELHO FOTOPOLIMERIZADOR;Bom;0;191,4;306,24;0;244,98;61,26
6743;ARQUIVO DESLIZANTE EM AÇO;Bom;0;579;579;0;0;579
6778;PLAINA PORTÁTIL ELÉTRICA;Bom;0;40;400;0;0;400
6779;PARAFUSADEIRA ELÉTRICA;Bom;0;57,45;574,49;0;0;574,49
6784;BALANÇA COMERCIAL ELETRÔNICA;Bom;0;67,5;202,5;0;182,31;20,19
6845;MICROFONE COM FIO;Bom;0;33,9;339;0;0;339
6850;MICROFONE COM FIO;Bom;0;33,9;339;0;0;339
6851;MICROFONE COM FIO;Bom;0;33,9;339;0;0;339
6857;QUADRO MAGNÉTICO;Bom;0;18,47;18,47;0;0;18,47
6858;QUADRO MAGNÉTICO;Bom;0;18,47;18,47;0;0;18,47
6972;POLTRONA GIRATÓRIA EM COURVIN;Bom;0;12,65;12,65;0;0;12,65
7023;SOFA EM TECIDO PARA 02 LUGARES;Bom;0;59,4;59,4;0;0;59,4
7079;ESTANTE EM MADEIRA 02 PORTAS E PRATELEIRAS;Bom;0;39,1;39,1;0;0;39,1
7157;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7158;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7159;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7160;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7161;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7162;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7163;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7164;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7165;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7166;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7167;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7168;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7169;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7170;ESTANTE DUPLA FACE;Bom;0;58;58;0;0;58
7171;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7172;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7173;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7174;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7175;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7176;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7177;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7178;ESTANTE EM AÇO 05 PRATELEIRAS;Bom;0;39;39;0;0;39
7436;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7437;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7439;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7440;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7441;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7442;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7443;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7445;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7446;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7447;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7448;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7449;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7450;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7451;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7453;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7454;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7455;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7456;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7459;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7460;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
7461;GELADEIRA TIPO FRIGOBAR;Bom;0;43,8;438;0;0;438
